Target Link,Target Name,Target ID,Attacker 1,Attacker 1 Leader,Attacker 2,Attacker 2 Leader,Attacker 3,Attacker 3 Leader,,Defender 1,Defender 1 Leader,Defender 2,Defender 2 Leader,Defender 3,Defender 3 Leader,Defender 4,Defender 4 Leader,Defender 5,Defender 5 Leader
https://politicsandwar.com/nation/id=12118,Darwinium of Slugs,12118,https://politicsandwar.com/nation/id=48730,EvilPiggyFooFoo,https://politicsandwar.com/nation/id=90038,Azrael,,#ERROR!,,https://politicsandwar.com/nation/id=60766,Daveth,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=189573,Borg,189573,https://politicsandwar.com/nation/id=117241,Waldo,,#ERROR!,,#ERROR!,,https://politicsandwar.com/nation/id=211650,Azrael,https://politicsandwar.com/nation/id=203465,Al Sahina,,#ERROR!,,#ERROR!,,#ERROR!
,#ERROR!,#VALUE!,,#ERROR!,,#ERROR!,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
,#ERROR!,#VALUE!,,#ERROR!,,#ERROR!,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
,#ERROR!,#VALUE!,,#ERROR!,,#ERROR!,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
,#ERROR!,#VALUE!,,#ERROR!,,#ERROR!,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
,#ERROR!,#VALUE!,,#ERROR!,,#ERROR!,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
,#ERROR!,#VALUE!,,#ERROR!,,#ERROR!,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
,#ERROR!,#VALUE!,,#ERROR!,,#ERROR!,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
